f0,weber_fraction,model
250.4906622,0.002638164,human
502.234271,0.001476491,human
986.1834362,0.00138302,human
1977.299732,0.001316821,human
3992.164783,0.002411285,human
4987.526272,0.005157343,human
6318.358001,0.006809827,human
8000.0,0.012068598,human
261.1670773,9.68e-06,all_information_computational
347.3645529,8.09e-06,all_information_computational
485.0657429,6.48e-06,all_information_computational
721.1175119,5.03e-06,all_information_computational
972.5577699,4.1e-06,all_information_computational
1386.736535,3.32e-06,all_information_computational
1949.980244,2.79e-06,all_information_computational
2898.916122,2.96e-06,all_information_computational
4020.032899,4.79e-06,all_information_computational
5613.642002,1.09e-05,all_information_computational
6773.540159,2.09e-05,all_information_computational
8230.151978,4.96e-05,all_information_computational
10000.0,0.000152142,all_information_computational
261.1670773,1.63e-05,all_information_analytical
347.3645529,1.24e-05,all_information_analytical
485.0657429,8.77e-06,all_information_analytical
721.1175119,5.93e-06,all_information_analytical
972.5577699,4.42e-06,all_information_analytical
1386.736535,3.11e-06,all_information_analytical
1949.980244,2.19e-06,all_information_analytical
261.1670773,0.002133016,rate_place_computational
344.9565141,0.001933706,rate_place_computational
488.4518426,0.00176741,rate_place_computational
721.1175119,0.001615415,rate_place_computational
972.5577699,0.001538092,rate_place_computational
1386.736535,0.001452547,rate_place_computational
1963.592477,0.001394372,rate_place_computational
2919.152594,0.0013061,rate_place_computational
4048.095554,0.001223415,rate_place_computational
5613.642002,0.001184057,rate_place_computational
6773.540159,0.001174417,rate_place_computational
8230.151978,0.001394372,rate_place_computational
10000.0,0.001213455,rate_place_computational
261.1670773,0.001284919,rate_place_analytical
344.9565141,0.001284919,rate_place_analytical
488.4518426,0.001284919,rate_place_analytical
721.1175119,0.001284919,rate_place_analytical
972.5577699,0.001274458,rate_place_analytical
1386.736535,0.001284919,rate_place_analytical
1963.592477,0.0013061,rate_place_analytical
